Ano do Evento;Nome do Evento;Evento Gratuito;Qtd Total de Inscritos;Qtd Concluintes;Valor Recebido;% de Ocupação
2018;CURSO FORMAÇÃO E HABILITAÇÃO DE PREGOEIRO;Não;10;10;1000;0.666666667
2018;CURSO FORMAÇÃO E HABILITAÇÃO EM PREGOEIRO;Não;22;20;1890;0.88
2018;CURSO GERANDO RENDA ATRAVÉS DE FINANCIAMENTO BANCÁRIO;Sim;12;12;0;1
2018;Curso Gestão da Qualidade-Fundamentos da Excelência;Sim;23;21;0;0.92
2018;Curso Gestão de Estoques;Não;28;28;3060;0.430769231
2018;Curso Gestão de Estoques;Sim;17;17;0;0.68
2018;Curso Gestão de Pessoas Intermediário;Não;36;34;3972.5;0.654545455
2018;Curso Gestão estratégica de vendas na medida: melhore suas vendas;Não;14;14;1330;0.56
2018;Curso Gestão Financeira;Não;20;20;2200;0.952380952
2018;Curso Gestão Financeira - Comércio de Material de Construção;Sim;10;10;0;0.5
2018;Curso Gestão Financeira - Curso mais consultoria;Não;19;17;2100;0.633333333
2018;Curso Gestão Financeira - Intermediário;Não;25;21;3570;0.418181818
2018;Curso Gestão Financeira - Intermediário (ALI ARSUL)  mais informações: 3213-8310;Não;19;19;2310;0.95
2018;Curso Gestão Financeira - Intermediário / Aprenda a gerenciar melhor as finanças da sua empresa;Não;9;9;1260;1
2018;CURSO GESTÃO FINANCEIRA (Observações: nível intermediário. exclusivo para pessoas jurídicas);Não;19;18;3780;1
